iter	Logloss
0	0.5392721177
1	0.475658686
2	0.450636539
3	0.4385821277
4	0.4319711487
5	0.4280627375
6	0.4261709905
7	0.423699582
8	0.4220409923
9	0.4210590577
10	0.4201746957
11	0.4189077194
12	0.4178203703
13	0.417049739
14	0.4158446522
15	0.4149557293
16	0.4139060766
17	0.4131183629
18	0.4123428134
19	0.4115534648
20	0.4110294452
21	0.410501926
22	0.4100295038
23	0.4092402146
24	0.408737838
25	0.4079439801
26	0.4073006885
27	0.4065744601
28	0.4060256895
29	0.405446537
30	0.4046541303
31	0.4040073787
32	0.4033690888
33	0.4028417689
34	0.4021382529
35	0.4011201198
36	0.4001057636
37	0.3989769076
38	0.3983502532
39	0.3973629772
40	0.3964885786
41	0.395607944
42	0.3947877824
43	0.3939153303
44	0.3933924619
45	0.3926393312
46	0.3921379859
47	0.3912390433
48	0.3907113947
49	0.3894227272
50	0.3885312174
51	0.3876730958
52	0.3871424445
53	0.3864544302
54	0.3859894519
55	0.3854263845
56	0.3847662544
57	0.3838216672
58	0.3830274862
59	0.3823522518
60	0.3819149255
61	0.3815182713
62	0.3810492285
63	0.3805163506
64	0.3802432405
65	0.3793699097
66	0.3786203851
67	0.3780849599
68	0.3772331123
69	0.3764869283
70	0.3756585136
71	0.3751063776
72	0.3746918455
73	0.3738461041
74	0.3728789686
75	0.3722239832
76	0.3714403655
77	0.3702579301
78	0.3694782751
79	0.3685750731
80	0.3679136506
81	0.367015105
82	0.3662662773
83	0.3656527652
84	0.3650363046
85	0.3646902556
86	0.3637154656
87	0.3626903162
88	0.3622057286
89	0.3618994206
90	0.3617073199
91	0.3608191278
92	0.3599609093
93	0.3594589209
94	0.3585853068
95	0.3581749557
96	0.3571893207
97	0.3565295645
98	0.3558413948
99	0.3552218339
